Query,File,Itemset,Frequency,Duration,Density,Nb_unique_itemset,Nb_transactions
Q6,connect.dat,29987,0.4,15001,0.3384615384615385,130,67557
Q7,connect.dat,200658,0.4,15001,0.3384615384615385,130,67557
Q8,connect.dat,0,0.4,2,0.3384615384615385,130,67557
Q9,connect.dat,208424,0.4,15001,0.3384615384615385,130,67557
Q1,connect.dat,641017,0.6,15001,0.3384615384615385,130,67557
Q2,connect.dat,68350,0.6,5938,0.3384615384615385,130,67557
Q3,connect.dat,13,0.6,15258,0.3384615384615385,130,67557
Q4,connect.dat,1813333,0.6,15001,0.3384615384615385,130,67557
Q5,connect.dat,105383,0.6,15001,0.3384615384615385,130,67557
Q6,connect.dat,23476,0.6,15001,0.3384615384615385,130,67557
Q7,connect.dat,68341,0.6,4526,0.3384615384615385,130,67557
Q8,connect.dat,0,0.6,2,0.3384615384615385,130,67557
Q9,connect.dat,68350,0.6,4373,0.3384615384615385,130,67557
Q1,connect.dat,534232,0.8,11671,0.3384615384615385,130,67557
Q2,connect.dat,15112,0.8,908,0.3384615384615385,130,67557
Q3,connect.dat,676,0.8,8976,0.3384615384615385,130,67557
Q4,connect.dat,1764221,0.8,15001,0.3384615384615385,130,67557
Q5,connect.dat,104723,0.8,15001,0.3384615384615385,130,67557
Q6,connect.dat,30196,0.8,15001,0.3384615384615385,130,67557
Q7,connect.dat,15104,0.8,860,0.3384615384615385,130,67557
Q8,connect.dat,0,0.8,3,0.3384615384615385,130,67557
Q9,connect.dat,15112,0.8,729,0.3384615384615385,130,67557
Q1,pumsb.dat,601214,0.2,15001,0.0354777672658467,2114,49046
Q2,pumsb.dat,113784,0.2,15001,0.0354777672658467,2114,49046
Q3,pumsb.dat,28,0.2,18896,0.0354777672658467,2114,49046
Q4,pumsb.dat,614547,0.2,15001,0.0354777672658467,2114,49046
Q5,pumsb.dat,69859,0.2,15001,0.0354777672658467,2114,49046
Q6,pumsb.dat,603,0.2,15115,0.0354777672658467,2114,49046
Q7,pumsb.dat,94469,0.2,15001,0.0354777672658467,2114,49046
Q8,pumsb.dat,97353,0.2,15001,0.0354777672658467,2114,49046
Q9,pumsb.dat,79793,0.2,15001,0.0354777672658467,2114,49046
Q1,pumsb.dat,543714,0.4,15001,0.0354777672658467,2114,49046
Q2,pumsb.dat,122081,0.4,15001,0.0354777672658467,2114,49046
Q3,pumsb.dat,83,0.4,17749,0.0354777672658467,2114,49046
Q4,pumsb.dat,611889,0.4,15001,0.0354777672658467,2114,49046
Q5,pumsb.dat,71124,0.4,15001,0.0354777672658467,2114,49046
Q6,pumsb.dat,630,0.4,15019,0.0354777672658467,2114,49046
Q7,pumsb.dat,144411,0.4,15001,0.0354777672658467,2114,49046
Q8,pumsb.dat,0,0.4,12,0.0354777672658467,2114,49046
Q9,pumsb.dat,122049,0.4,15001,0.0354777672658467,2114,49046
Q1,pumsb.dat,871873,0.6,15001,0.0354777672658467,2114,49046
Q2,pumsb.dat,176570,0.6,15001,0.0354777672658467,2114,49046
Q3,pumsb.dat,757,0.6,15795,0.0354777672658467,2114,49046
Q4,pumsb.dat,588335,0.6,15001,0.0354777672658467,2114,49046
Q5,pumsb.dat,66700,0.6,15005,0.0354777672658467,2114,49046
Q6,pumsb.dat,657,0.6,15018,0.0354777672658467,2114,49046
Q7,pumsb.dat,143824,0.6,15001,0.0354777672658467,2114,49046
Q8,pumsb.dat,0,0.6,10,0.0354777672658467,2114,49046
Q9,pumsb.dat,175909,0.6,15001,0.0354777672658467,2114,49046
Q1,pumsb.dat,142195,0.8,2539,0.0354777672658467,2114,49046
Q2,pumsb.dat,33308,0.8,3016,0.0354777672658467,2114,49046
Q3,pumsb.dat,922,0.8,15006,0.0354777672658467,2114,49046
Q4,pumsb.dat,607347,0.8,15001,0.0354777672658467,2114,49046
Q5,pumsb.dat,73494,0.8,15001,0.0354777672658467,2114,49046
Q6,pumsb.dat,618,0.8,15004,0.0354777672658467,2114,49046
Q7,pumsb.dat,33291,0.8,3528,0.0354777672658467,2114,49046
Q8,pumsb.dat,0,0.8,9,0.0354777672658467,2114,49046
Q9,pumsb.dat,33308,0.8,3073,0.0354777672658467,2114,49046
Q1,heart-cleveland.dat,9326198,0.2,15001,0.4791666666666667,96,296
Q2,heart-cleveland.dat,1124448,0.2,6730,0.4791666666666667,96,296
Q3,heart-cleveland.dat,36306,0.2,15001,0.4791666666666667,96,296
Q4,heart-cleveland.dat,10276135,0.2,15001,0.4791666666666667,96,296
Q5,heart-cleveland.dat,3578765,0.2,15001,0.4791666666666667,96,296
Q6,heart-cleveland.dat,648498,0.2,15001,0.4791666666666667,96,296
Q7,heart-cleveland.dat,1124422,0.2,8849,0.4791666666666667,96,296
Q8,heart-cleveland.dat,148,0.2,2,0.4791666666666667,96,296
Q9,heart-cleveland.dat,1124300,0.2,6263,0.4791666666666667,96,296
Q1,heart-cleveland.dat,120466,0.4,193,0.4791666666666667,96,296
Q2,heart-cleveland.dat,25820,0.4,134,0.4791666666666667,96,296
Q3,heart-cleveland.dat,7692,0.4,460,0.4791666666666667,96,296
Q4,heart-cleveland.dat,10453253,0.4,15001,0.4791666666666667,96,296
Q5,heart-cleveland.dat,3661971,0.4,15001,0.4791666666666667,96,296
Q6,heart-cleveland.dat,713767,0.4,15001,0.4791666666666667,96,296
Q7,heart-cleveland.dat,25798,0.4,207,0.4791666666666667,96,296
Q8,heart-cleveland.dat,0,0.4,0,0.4791666666666667,96,296
Q9,heart-cleveland.dat,25820,0.4,139,0.4791666666666667,96,296
Q1,heart-cleveland.dat,1757,0.6,2,0.4791666666666667,96,296
Q2,heart-cleveland.dat,1022,0.6,5,0.4791666666666667,96,296
Q3,heart-cleveland.dat,464,0.6,11,0.4791666666666667,96,296
Q4,heart-cleveland.dat,10261053,0.6,15001,0.4791666666666667,96,296
Q5,heart-cleveland.dat,3673197,0.6,15001,0.4791666666666667,96,296
Q6,heart-cleveland.dat,726992,0.6,15001,0.4791666666666667,96,296
Q7,heart-cleveland.dat,1007,0.6,8,0.4791666666666667,96,296
Q8,heart-cleveland.dat,0,0.6,0,0.4791666666666667,96,296
Q9,heart-cleveland.dat,1022,0.6,5,0.4791666666666667,96,296
Q1,heart-cleveland.dat,37,0.8,0,0.4791666666666667,96,296
Q2,heart-cleveland.dat,34,0.8,0,0.4791666666666667,96,296
Q3,heart-cleveland.dat,22,0.8,0,0.4791666666666667,96,296
Q4,heart-cleveland.dat,10423858,0.8,15001,0.4791666666666667,96,296
Q5,heart-cleveland.dat,3642332,0.8,15001,0.4791666666666667,96,296
Q6,heart-cleveland.dat,704986,0.8,15001,0.4791666666666667,96,296
Q7,heart-cleveland.dat,22,0.8,0,0.4791666666666667,96,296
Q8,heart-cleveland.dat,0,0.8,0,0.4791666666666667,96,296
Q9,heart-cleveland.dat,34,0.8,0,0.4791666666666667,96,296
Q1,eisen.dat,12,0.2,7,0.0037118715211001,9839,2464
Q2,eisen.dat,11,0.2,9,0.0037118715211001,9839,2464
Q3,eisen.dat,7,0.2,272,0.0037118715211001,9839,2464
Q4,eisen.dat,171155,0.2,15001,0.0037118715211001,9839,2464
Q5,eisen.dat,8842,0.2,15001,0.0037118715211001,9839,2464
Q6,eisen.dat,672,0.2,15006,0.0037118715211001,9839,2464
Q7,eisen.dat,2,0.2,32,0.0037118715211001,9839,2464
Q8,eisen.dat,1,0.2,7,0.0037118715211001,9839,2464
Q9,eisen.dat,10,0.2,10,0.0037118715211001,9839,2464
Q1,eisen.dat,2,0.4,10,0.0037118715211001,9839,2464
Q2,eisen.dat,2,0.4,8,0.0037118715211001,9839,2464
Q3,eisen.dat,1,0.4,288,0.0037118715211001,9839,2464
Q4,eisen.dat,197818,0.4,15001,0.0037118715211001,9839,2464
Q5,eisen.dat,23641,0.4,15001,0.0037118715211001,9839,2464
Q6,eisen.dat,708,0.4,15003,0.0037118715211001,9839,2464
Q7,eisen.dat,0,0.4,23,0.0037118715211001,9839,2464
Q8,eisen.dat,0,0.4,6,0.0037118715211001,9839,2464
Q9,eisen.dat,2,0.4,7,0.0037118715211001,9839,2464
Q1,eisen.dat,2,0.6,4,0.0037118715211001,9839,2464
Q2,eisen.dat,2,0.6,7,0.0037118715211001,9839,2464
Q3,eisen.dat,1,0.6,279,0.0037118715211001,9839,2464
Q4,eisen.dat,194982,0.6,15001,0.0037118715211001,9839,2464
Q5,eisen.dat,17860,0.6,15001,0.0037118715211001,9839,2464
Q6,eisen.dat,659,0.6,15001,0.0037118715211001,9839,2464
Q7,eisen.dat,0,0.6,17,0.0037118715211001,9839,2464
Q8,eisen.dat,0,0.6,6,0.0037118715211001,9839,2464
Q9,eisen.dat,2,0.6,7,0.0037118715211001,9839,2464
Q1,eisen.dat,1,0.8,4,0.0037118715211001,9839,2464
Q2,eisen.dat,1,0.8,6,0.0037118715211001,9839,2464
Q3,eisen.dat,1,0.8,274,0.0037118715211001,9839,2464
Q4,eisen.dat,211358,0.8,15001,0.0037118715211001,9839,2464
Q5,eisen.dat,18198,0.8,15001,0.0037118715211001,9839,2464
Q6,eisen.dat,636,0.8,15009,0.0037118715211001,9839,2464
Q7,eisen.dat,0,0.8,32,0.0037118715211001,9839,2464
Q8,eisen.dat,0,0.8,6,0.0037118715211001,9839,2464
Q9,eisen.dat,1,0.8,6,0.0037118715211001,9839,2464
Q1,mushroom.dat,15794,0.2,52,0.1946902654867256,113,8124
Q2,mushroom.dat,817,0.2,15,0.1946902654867256,113,8124
Q3,mushroom.dat,136,0.2,75,0.1946902654867256,113,8124
Q4,mushroom.dat,6429553,0.2,15001,0.1946902654867256,113,8124
Q5,mushroom.dat,366777,0.2,7234,0.1946902654867256,113,8124
Q6,mushroom.dat,220707,0.2,4223,0.1946902654867256,113,8124
Q7,mushroom.dat,816,0.2,14,0.1946902654867256,113,8124
Q8,mushroom.dat,40,0.2,1,0.1946902654867256,113,8124
Q9,mushroom.dat,777,0.2,13,0.1946902654867256,113,8124
Q1,mushroom.dat,416,0.4,2,0.1946902654867256,113,8124
Q2,mushroom.dat,107,0.4,1,0.1946902654867256,113,8124
Q3,mushroom.dat,30,0.4,7,0.1946902654867256,113,8124
Q4,mushroom.dat,6488602,0.4,15001,0.1946902654867256,113,8124
Q5,mushroom.dat,367748,0.4,6958,0.1946902654867256,113,8124
Q6,mushroom.dat,221417,0.4,4188,0.1946902654867256,113,8124
Q7,mushroom.dat,106,0.4,2,0.1946902654867256,113,8124
Q8,mushroom.dat,0,0.4,0,0.1946902654867256,113,8124
Q9,mushroom.dat,107,0.4,2,0.1946902654867256,113,8124
Q1,mushroom.dat,52,0.6,0,0.1946902654867256,113,8124
Q2,mushroom.dat,19,0.6,1,0.1946902654867256,113,8124
Q3,mushroom.dat,5,0.6,1,0.1946902654867256,113,8124
Q4,mushroom.dat,6892282,0.6,15001,0.1946902654867256,113,8124
Q5,mushroom.dat,367860,0.6,7005,0.1946902654867256,113,8124
Q6,mushroom.dat,221505,0.6,4209,0.1946902654867256,113,8124
Q7,mushroom.dat,18,0.6,1,0.1946902654867256,113,8124
Q8,mushroom.dat,0,0.6,0,0.1946902654867256,113,8124
Q9,mushroom.dat,19,0.6,0,0.1946902654867256,113,8124
Q1,mushroom.dat,24,0.8,0,0.1946902654867256,113,8124
Q2,mushroom.dat,10,0.8,0,0.1946902654867256,113,8124
Q3,mushroom.dat,2,0.8,0,0.1946902654867256,113,8124
Q4,mushroom.dat,6947178,0.8,15001,0.1946902654867256,113,8124
Q5,mushroom.dat,367871,0.8,7039,0.1946902654867256,113,8124
Q6,mushroom.dat,221514,0.8,4270,0.1946902654867256,113,8124
Q7,mushroom.dat,9,0.8,1,0.1946902654867256,113,8124
Q8,mushroom.dat,0,0.8,0,0.1946902654867256,113,8124
Q9,mushroom.dat,10,0.8,0,0.1946902654867256,113,8124
Q1,iris.dat,55,0.2,0,0.375,16,150
Q2,iris.dat,32,0.2,0,0.375,16,150
Q3,iris.dat,8,0.2,1,0.375,16,150
Q4,iris.dat,291,0.2,1,0.375,16,150
Q5,iris.dat,129,0.2,0,0.375,16,150
Q6,iris.dat,104,0.2,1,0.375,16,150
Q7,iris.dat,19,0.2,1,0.375,16,150
Q8,iris.dat,6,0.2,1,0.375,16,150
Q9,iris.dat,26,0.2,0,0.375,16,150
Q1,iris.dat,1,0.4,0,0.375,16,150
Q2,iris.dat,1,0.4,0,0.375,16,150
Q3,iris.dat,1,0.4,0,0.375,16,150
Q4,iris.dat,345,0.4,1,0.375,16,150
Q5,iris.dat,166,0.4,1,0.375,16,150
Q6,iris.dat,135,0.4,1,0.375,16,150
Q7,iris.dat,0,0.4,0,0.375,16,150
Q8,iris.dat,0,0.4,0,0.375,16,150
Q9,iris.dat,1,0.4,0,0.375,16,150
Q1,iris.dat,1,0.6,0,0.375,16,150
Q2,iris.dat,1,0.6,0,0.375,16,150
Q3,iris.dat,1,0.6,0,0.375,16,150
Q4,iris.dat,345,0.6,1,0.375,16,150
Q5,iris.dat,166,0.6,1,0.375,16,150
Q6,iris.dat,135,0.6,1,0.375,16,150
Q7,iris.dat,0,0.6,1,0.375,16,150
Q8,iris.dat,0,0.6,0,0.375,16,150
Q9,iris.dat,1,0.6,0,0.375,16,150
Q1,iris.dat,1,0.8,0,0.375,16,150
Q2,iris.dat,1,0.8,0,0.375,16,150
Q3,iris.dat,1,0.8,1,0.375,16,150
Q4,iris.dat,345,0.8,1,0.375,16,150
Q5,iris.dat,166,0.8,0,0.375,16,150
Q6,iris.dat,135,0.8,1,0.375,16,150
Q7,iris.dat,0,0.8,0,0.375,16,150
Q8,iris.dat,0,0.8,0,0.375,16,150
Q9,iris.dat,1,0.8,0,0.375,16,150
Q1,contextPasquier99.dat,20,0.2,130,0.64,5,5
Q2,contextPasquier99.dat,7,0.2,8,0.64,5,5
Q3,contextPasquier99.dat,2,0.2,3,0.64,5,5
Q4,contextPasquier99.dat,4,0.2,3,0.64,5,5
Q5,contextPasquier99.dat,1,0.2,2,0.64,5,5
Q6,contextPasquier99.dat,1,0.2,1,0.64,5,5
Q7,contextPasquier99.dat,5,0.2,12,0.64,5,5
Q8,contextPasquier99.dat,5,0.2,19,0.64,5,5
Q9,contextPasquier99.dat,2,0.2,2,0.64,5,5
Q1,contextPasquier99.dat,16,0.4,3,0.64,5,5
Q2,contextPasquier99.dat,6,0.4,3,0.64,5,5
Q3,contextPasquier99.dat,1,0.4,1,0.64,5,5
Q4,contextPasquier99.dat,4,0.4,1,0.64,5,5
Q5,contextPasquier99.dat,1,0.4,1,0.64,5,5
Q6,contextPasquier99.dat,1,0.4,1,0.64,5,5
Q7,contextPasquier99.dat,4,0.4,1,0.64,5,5
Q8,contextPasquier99.dat,4,0.4,2,0.64,5,5
Q9,contextPasquier99.dat,2,0.4,1,0.64,5,5
Q1,contextPasquier99.dat,10,0.6,1,0.64,5,5
Q2,contextPasquier99.dat,5,0.6,2,0.64,5,5
Q3,contextPasquier99.dat,2,0.6,1,0.64,5,5
Q4,contextPasquier99.dat,10,0.6,1,0.64,5,5
Q5,contextPasquier99.dat,3,0.6,0,0.64,5,5
Q6,contextPasquier99.dat,2,0.6,1,0.64,5,5
Q7,contextPasquier99.dat,3,0.6,1,0.64,5,5
Q8,contextPasquier99.dat,3,0.6,2,0.64,5,5
Q9,contextPasquier99.dat,2,0.6,1,0.64,5,5
Q1,contextPasquier99.dat,5,0.8,1,0.64,5,5
Q2,contextPasquier99.dat,3,0.8,0,0.64,5,5
Q3,contextPasquier99.dat,2,0.8,1,0.64,5,5
Q4,contextPasquier99.dat,15,0.8,2,0.64,5,5
Q5,contextPasquier99.dat,6,0.8,1,0.64,5,5
Q6,contextPasquier99.dat,4,0.8,1,0.64,5,5
Q7,contextPasquier99.dat,1,0.8,1,0.64,5,5
Q8,contextPasquier99.dat,1,0.8,1,0.64,5,5
Q9,contextPasquier99.dat,2,0.8,0,0.64,5,5
